fiscal_yr;org_id;service_id;fy_org_id_service_id;online_interaction_point;activation;online_interaction_point_sort
2022-2023;136;1103;2022-2023_136_1103;account_registration;NA;1
2018-2019;136;1103;2018-2019_136_1103;account_registration;Y;1
2019-2020;136;1103;2019-2020_136_1103;account_registration;NA;1
2020-2021;136;1103;2020-2021_136_1103;account_registration;NA;1
2021-2022;136;1103;2021-2022_136_1103;account_registration;NA;1
2018-2019;46;1104;2018-2019_46_1104;account_registration;NA;1
2019-2020;46;1104;2019-2020_46_1104;account_registration;NA;1
2020-2021;46;1104;2020-2021_46_1104;account_registration;NA;1
2021-2022;46;1104;2021-2022_46_1104;account_registration;NA;1
2018-2019;46;1105;2018-2019_46_1105;account_registration;Y;1
2019-2020;46;1105;2019-2020_46_1105;account_registration;Y;1
2020-2021;46;1105;2020-2021_46_1105;account_registration;Y;1
2021-2022;46;1105;2021-2022_46_1105;account_registration;Y;1
2018-2019;46;1106;2018-2019_46_1106;account_registration;Y;1
2019-2020;46;1106;2019-2020_46_1106;account_registration;Y;1
2020-2021;46;1106;2020-2021_46_1106;account_registration;Y;1
2021-2022;46;1106;2021-2022_46_1106;account_registration;Y;1
2018-2019;46;1107;2018-2019_46_1107;account_registration;Y;1
2019-2020;46;1107;2019-2020_46_1107;account_registration;Y;1
2020-2021;46;1107;2020-2021_46_1107;account_registration;Y;1
2021-2022;46;1107;2021-2022_46_1107;account_registration;Y;1
2018-2019;46;1108;2018-2019_46_1108;account_registration;Y;1
2019-2020;46;1108;2019-2020_46_1108;account_registration;Y;1
2020-2021;46;1108;2020-2021_46_1108;account_registration;Y;1
2021-2022;46;1108;2021-2022_46_1108;account_registration;Y;1
2018-2019;46;1109;2018-2019_46_1109;account_registration;Y;1
2019-2020;46;1109;2019-2020_46_1109;account_registration;Y;1
2020-2021;46;1109;2020-2021_46_1109;account_registration;Y;1
2021-2022;46;1109;2021-2022_46_1109;account_registration;Y;1
2018-2019;46;1110;2018-2019_46_1110;account_registration;Y;1
2019-2020;46;1110;2019-2020_46_1110;account_registration;Y;1
2020-2021;46;1110;2020-2021_46_1110;account_registration;Y;1
2021-2022;46;1110;2021-2022_46_1110;account_registration;Y;1
2018-2019;46;1111;2018-2019_46_1111;account_registration;Y;1
2019-2020;46;1111;2019-2020_46_1111;account_registration;Y;1
2020-2021;46;1111;2020-2021_46_1111;account_registration;Y;1
2021-2022;46;1111;2021-2022_46_1111;account_registration;Y;1
2018-2019;46;1112;2018-2019_46_1112;account_registration;Y;1
2019-2020;46;1112;2019-2020_46_1112;account_registration;Y;1
2020-2021;46;1112;2020-2021_46_1112;account_registration;Y;1
2021-2022;46;1112;2021-2022_46_1112;account_registration;Y;1
2018-2019;46;1113;2018-2019_46_1113;account_registration;Y;1
2019-2020;46;1113;2019-2020_46_1113;account_registration;Y;1
2020-2021;46;1113;2020-2021_46_1113;account_registration;Y;1
2021-2022;46;1113;2021-2022_46_1113;account_registration;Y;1
2022-2023;326;1114;2022-2023_326_1114;account_registration;NA;1
2018-2019;326;1114;2018-2019_326_1114;account_registration;NA;1
2019-2020;326;1114;2019-2020_326_1114;account_registration;NA;1
2020-2021;326;1114;2020-2021_326_1114;account_registration;NA;1
2021-2022;326;1114;2021-2022_326_1114;account_registration;NA;1
2018-2019;46;1115;2018-2019_46_1115;account_registration;NA;1
2019-2020;46;1115;2019-2020_46_1115;account_registration;NA;1
2020-2021;46;1115;2020-2021_46_1115;account_registration;Y;1
2021-2022;46;1115;2021-2022_46_1115;account_registration;Y;1
2018-2019;46;1116;2018-2019_46_1116;account_registration;Y;1
2019-2020;46;1116;2019-2020_46_1116;account_registration;Y;1
2020-2021;46;1116;2020-2021_46_1116;account_registration;Y;1
2021-2022;46;1116;2021-2022_46_1116;account_registration;Y;1
2018-2019;46;1117;2018-2019_46_1117;account_registration;NA;1
2019-2020;46;1117;2019-2020_46_1117;account_registration;NA;1
2020-2021;46;1117;2020-2021_46_1117;account_registration;NA;1
2021-2022;46;1117;2021-2022_46_1117;account_registration;NA;1
2018-2019;278;1118;2018-2019_278_1118;account_registration;NA;1
2019-2020;278;1118;2019-2020_278_1118;account_registration;NA;1
2018-2019;114;1119;2018-2019_114_1119;account_registration;N;1
2019-2020;114;1119;2019-2020_114_1119;account_registration;N;1
2020-2021;114;1119;2020-2021_114_1119;account_registration;N;1
2021-2022;114;1119;2021-2022_114_1119;account_registration;N;1
